Mã,Tiêu đề,Nhóm,Độ khó,Phút,XP,Đang bật,Mô tả,Số bước,Các bước,Lợi ích (benefits),CẢNH BÁO: tiêu đề quá dài,CẢNH BÁO: thiếu mô tả,CẢNH BÁO: trùng tiêu đề với,Ghi chú rà soát
1.37,Tương tác xã hội cấp độ 1,easy,easy,5,15,có,"Yêu cầu người dùng trò chuyện, tương tác xã hội bằng sự tử tế, yêu thương, giúp đỡ với xã hội, một câu lạc bộ, nhóm người hoặc người lạ. Hãy cho đi để nhận lại.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Tương tác xã hội cấp độ 1'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.38,"Trò chuyện với bản thân: Hãy tử tế với chính mình, trò chuyện với đứa trẻ bên trọng bạn sẽ giúp bạn hồi phục tâm lý cho đứa trẻ này, giúp nó rèn luyện và mạnh mẽ hơn.",easy,easy,5,15,có,,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Trò chuyện với bản thân: Hãy tử tế với chính mình, trò chuyện với đứa trẻ bên trọng bạn sẽ giúp bạn hồi phục tâm lý cho đứa trẻ này, giúp nó rèn luyện và mạnh mẽ hơn.'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",DÀI 166 ký tự,THIẾU MÔ TẢ,,
1.39,"Cư xử đúng mực: Học cách cư xử lịch thiệp và quan tâm đến mọi người, bắt đầu từ gia đình. Nhận biết nỗi lo lắng của thực tại và viết nó ra giấy và phân tích",easy,easy,5,15,có,,5,"1. Xác định người hoặc tổ chức bạn muốn tương tác hoặc giúp đỡ. | 2. Chủ động liên hệ, gọi điện hoặc lên kế hoạch gặp mặt. | 3. Giao tiếp với thái độ chân thành, cởi mở, không phán xét. | 4. Lắng nghe tích cực và thể hiện sự thiện chí/đóng góp của bạn. | 5. Ghi nhận cảm xúc ấm áp sau khi kết nối xã hội hoàn thành.","Tăng nồng độ Oxytocin (hormone gắn kết tình cảm, giảm stress); Giảm cảm giác cô đơn và trầm cảm; Tạo động lực và nâng cao sự tự tôn thông qua giá trị trao đi",DÀI 156 ký tự,THIẾU MÔ TẢ,,
1.4,Liệt kê ra cho bản thân bạn những điều bạn làm làm cho bạn cảm thấy tự hào,easy,easy,5,15,có,"Dù là nhỏ nhất, hãy liệt kê ra cho bản thân những khả năng, thành tích bản thân bạn ghi nhận mình có được và tự hào về nó. Nó có thể là có một nhóm bạn chân thành, nó có thể là bạn có một kỹ năng mà ít người có được, nó có thể là việc giải được một bài toán hóc búa, hay đơn giản là hành động tử tế của bạn cho người khác. Điều đó hoàn toàn giúp bạn có cái neo tinh thần tốt, khẳng định rằng bạn là người tốt và xứng đáng được hạnh phúc.",5,"1. Lấy một cuốn sổ hoặc mở ứng dụng ghi chú. | 2. Hồi tưởng lại những khoảnh khắc, sự việc vừa diễn ra trong ngày. | 3. Viết ra 3 điều cụ thể mà bạn cảm thấy biết ơn hoặc tự hào. | 4. Viết kèm lý do tại sao điều đó lại có ý nghĩa với bạn. | 5. Đọc lại danh sách và mỉm cười ghi nhận những giá trị tốt đẹp.",Tái cấu trúc thần kinh (neuroplasticity) theo hướng tích cực; Giảm triệu chứng trầm cảm lên đến 30% nếu thực hành lâu dài; Tăng cường sản sinh serotonin tự nhiên,DÀI 74 ký tự,,,
1.4,Quan sát đồ vật quen thuộc (Mindful Observation Task),easy,easy,5,15,có,"Chọn một đồ vật trong nhà (cây xanh, đèn, bức tranh) và tập trung quan sát chi tiết trong 2-3 phút.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Quan sát đồ vật quen thuộc (Mindful Observation Task)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.41,Chọn một câu trích dẫn yêu thích (Pick a Positive Quote),easy,easy,5,15,có,"Ứng dụng đưa ra nhiều câu trích dẫn tích cực, người dùng chọn câu mà họ yêu thích nhất và viết lý do vì sao.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Chọn một câu trích dẫn yêu thích (Pick a Positive Quote)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,1.3,
1.42,Cảm nhận bàn chân (Grounding with Feet Awareness),easy,easy,5,15,có,Hướng dẫn người dùng cởi giày và cảm nhận lòng bàn chân chạm đất trong 2 phút.,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Cảm nhận bàn chân (Grounding with Feet Awareness)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,1.31,
1.43,"Tạo danh sách ""3 điều biết ơn"" (Gratitude List Game)",easy,easy,5,15,có,Yêu cầu người dùng liệt kê 3 điều họ cảm thấy biết ơn trong ngày hôm nay.,5,"1. Lấy một cuốn sổ hoặc mở ứng dụng ghi chú. | 2. Hồi tưởng lại những khoảnh khắc, sự việc vừa diễn ra trong ngày. | 3. Viết ra 3 điều cụ thể mà bạn cảm thấy biết ơn hoặc tự hào. | 4. Viết kèm lý do tại sao điều đó lại có ý nghĩa với bạn. | 5. Đọc lại danh sách và mỉm cười ghi nhận những giá trị tốt đẹp.",Tái cấu trúc thần kinh (neuroplasticity) theo hướng tích cực; Giảm triệu chứng trầm cảm lên đến 30% nếu thực hành lâu dài; Tăng cường sản sinh serotonin tự nhiên,,,1.34,
1.44,"Tạo danh sách ""3 điều có giá trị nhất trong cuộc đời"" (Kindness List Game)",easy,easy,5,15,có,Yêu cầu người dùng liệt kê 3 việc tử tế đã thực hiện trong ngày hôm nay.,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Tạo danh sách ""3 điều có giá trị nhất trong cuộc đời"" (Kindness List Game)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",DÀI 74 ký tự,,,
1.45,"Tạo danh sách ""3 giá trị làm được đáng tự hào"" (Kindness List Game)",easy,easy,5,15,có,Yêu cầu người dùng liệt kê 3 điều/giá trị/thứ đáng để người dùng tự hào dù là nhỏ bé nhất.,5,"1. Lấy một cuốn sổ hoặc mở ứng dụng ghi chú. | 2. Hồi tưởng lại những khoảnh khắc, sự việc vừa diễn ra trong ngày. | 3. Viết ra 3 điều cụ thể mà bạn cảm thấy biết ơn hoặc tự hào. | 4. Viết kèm lý do tại sao điều đó lại có ý nghĩa với bạn. | 5. Đọc lại danh sách và mỉm cười ghi nhận những giá trị tốt đẹp.",Tái cấu trúc thần kinh (neuroplasticity) theo hướng tích cực; Giảm triệu chứng trầm cảm lên đến 30% nếu thực hành lâu dài; Tăng cường sản sinh serotonin tự nhiên,DÀI 67 ký tự,,,
1.46,"Tạo danh sách ""3 điều tử tế trong ngày"" (Kindness List Game)",easy,easy,5,15,có,Yêu cầu người dùng liệt kê 3 việc tử tế đã thực hiện trong ngày hôm nay.,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Tạo danh sách ""3 điều tử tế trong ngày"" (Kindness List Game)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.47,"Nghe Nhạc và đọc sách: Tạo danh sách nhạc yêu cầu nghe và đọc (những bộ phim về động lực của cuộc sống và những bản nhạc tích cực, vui tươi nhưng chậm rãi)",easy,easy,5,15,có,,5,"1. Đeo tai nghe hoặc bật loa với âm lượng vừa phải. | 2. Nhắm mắt lại để tập trung vào thính giác. | 3. Lắng nghe từng nốt nhạc, giai điệu hoặc lời bài hát. | 4. Thả lỏng cơ thể theo nhịp điệu của âm thanh. | 5. Cho phép tâm trí phiêu lưu theo bản nhạc trong ít nhất 5 phút.",Giảm nhịp tim và đồng bộ hóa sóng não thành trạng thái Alpha; Kích thích khu vực vỏ não tiết ra dopamine; Giảm lo âu đáng kể so với việc im lặng thụ động,DÀI 155 ký tự,THIẾU MÔ TẢ,,
1.48,"Thành thật với cảm xúc: Không cố che giấu cảm xúc tiêu cực, mà hãy chấp nhận và đối diện với chúng.",easy,easy,5,15,có,,5,"1. Lấy một cuốn sổ hoặc mở ứng dụng ghi chú. | 2. Hồi tưởng lại những khoảnh khắc, sự việc vừa diễn ra trong ngày. | 3. Viết ra 3 điều cụ thể mà bạn cảm thấy biết ơn hoặc tự hào. | 4. Viết kèm lý do tại sao điều đó lại có ý nghĩa với bạn. | 5. Đọc lại danh sách và mỉm cười ghi nhận những giá trị tốt đẹp.",Tái cấu trúc thần kinh (neuroplasticity) theo hướng tích cực; Giảm triệu chứng trầm cảm lên đến 30% nếu thực hành lâu dài; Tăng cường sản sinh serotonin tự nhiên,DÀI 99 ký tự,THIẾU MÔ TẢ,,
1.49,"Tập trung vào sự tiến bộ: Theo dõi sự tiến bộ hoặc thoái bộ trong công việc, cùng với những sự kiện cụ thể ảnh hưởng đến chúng. Điều này giúp bạn nhận biết được những yếu tố nào đang thúc đẩy hoặc cản trở mình, từ đó có những điều chỉnh phù hợp.",easy,easy,5,15,có,,5,"1. Chọn tư thế ngồi thẳng lưng thoải mái. | 2. Nhắm mắt và đem sự chú ý hướng về hơi thở tự nhiên. | 3. Khi có suy nghĩ khác chen ngang, đừng phán xét, hãy ghi nhận chúng. | 4. Nhẹ nhàng đưa sự chú ý quay lại hơi thở. | 5. Duy trì trạng thái hiện diện này cho đến khi kết thúc thời gian.","Làm dày vỏ não trước trán, cải thiện khả năng điều tiết cảm xúc; Giảm kích thước hạch hạnh nhân (amygdala) liên quan đến lo âu; Tăng khả năng tập trung (attention span)",DÀI 245 ký tự,THIẾU MÔ TẢ,,
1.5,Tắm nước ấm,easy,easy,5,15,có,Ngâm mình trong bồn tắm ấm áp trong một ngày dài chắc chắn sẽ giúp người dùng bớt căng thẳng,5,"1. Chuẩn bị một cốc nước lọc (có thể là nước ấm). | 2. Cầm cốc nước trên tay, cảm nhận nhiệt độ truyền qua da. | 3. Uống một ngụm nhỏ đầu tiên, giữ trong miệng 2-3 giây. | 4. Nuốt chậm rãi và cảm nhận dòng nước đi xuống họng. | 5. Tiếp tục uống từng ngụm nhỏ cho đến khi hết cốc.","Hydrat hóa tế bào não, giảm đau đầu do căng thẳng; Kích hoạt phản xạ nuốt giúp làm dịu dây thần kinh phế vị; Thực hành chánh niệm grounding hiệu quả",,,,
1.5,Soi gương và tự động viên bản thân,easy,easy,5,15,có,"Soi gương, bạn thấy gương mặt dễ thương, tốt bụng của mình, thầm nói câu: “tôi là người tốt và luôn cố gắng hoàn thiện bản thân từng ngày, tôi xứng đáng nhận được những điều tốt đẹp” – đó là một câu thần chú hết sức dễ dàng và đúng đắn.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Soi gương và tự động viên bản thân'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.51,Viết nhật ký,easy,easy,5,15,có,"Giúp giải tỏa cảm xúc bằng cách chuyển hóa suy nghĩ tiêu cực thành ngôn ngữ, giảm bớt áp lực tinh thần. Tăng nhận thức về nguyên nhân gây stress, từ đó tìm cách giải quyết. Cần viết đều đặn và trung thực. Tránh tập trung vào tiêu cực mà nên cân bằng với suy nghĩ tích cực.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Viết nhật ký'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.52,Xây dựng cho bản thân những món quà nhỏ.,easy,easy,5,15,có,"Hãy tự xây dựng cho mình những món quà nhỏ cho chính bản thân mình (một cách tích cực) như cho phép bản thân xem một bộ phim hay, cho phép bản thân ăn một món ăn ưa thích, đừng cay nghiệt quá dù nhiều lúc món ăn đó không tốt cho sức khỏe. Những món quà nhỏ này là phần thưởng trên cả chặng đường của bạn, hãy tự thưởng cho bản thân khi bản thân bạn vượt qua được những mốc khó khăn trong dự án cuộc đời mình",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Xây dựng cho bản thân những món quà nhỏ.'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.6,Giảm kỳ vọng cũng là cách để giảm stress hiệu quả,easy,easy,5,15,có,"Liệt kê các việc căng thẳng do kỳ vọng cao, giảm kỳ vọng hoặc tăng thời gian thực hiện.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Giảm kỳ vọng cũng là cách để giảm stress hiệu quả'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.7,Nói “Không”,easy,easy,5,15,có,"Nói không, giảm những thứ không cần thiết, không phù hợp với bản thân",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Nói “Không”'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.8,Tắt thiết bị điện tử trong 15 phút (Digital Detox),easy,easy,5,15,có,"Yêu cầu người dùng tắt điện thoại, máy tính trong khoảng thời gian nhất định. Ứng dụng có thể khóa màn hình hoặc ghi nhận cam kết của người dùng.",5,"1. Tắt Wi-Fi/4G hoặc chuyển thiết bị sang chế độ máy bay. | 2. Đặt thiết bị ở một phòng khác hoặc xa tầm tay hoàn toàn. | 3. Thay thế thời gian đó bằng việc đọc sách, xếp hình hoặc pha trà. | 4. Quan sát cảm giác FOMO (sợ bị bỏ lỡ) xuất hiện và để nó tự đi qua. | 5. Tận hưởng không gian thực tại không bị ngắt quãng.","Giảm áp lực xã hội và hội chứng FOMO gây căng thẳng; Bảo vệ mắt khỏi ánh sáng xanh, cải thiện nhịp sinh học; Tăng chất lượng tương tác thực tế với người xung quanh",,,,
1.9,Họ tất cả các ứng dụng điện thoại không dùng trong vòng một tháng (Digital Detox),easy,easy,5,15,có,Yêu cầu người dùng Xóa những ứng dụng rác hoặc tất cả các nhóm hội thoại rác bỏ theo dõi tất cả những người tạo ra rắc và những thông tin rác,5,"1. Tắt Wi-Fi/4G hoặc chuyển thiết bị sang chế độ máy bay. | 2. Đặt thiết bị ở một phòng khác hoặc xa tầm tay hoàn toàn. | 3. Thay thế thời gian đó bằng việc đọc sách, xếp hình hoặc pha trà. | 4. Quan sát cảm giác FOMO (sợ bị bỏ lỡ) xuất hiện và để nó tự đi qua. | 5. Tận hưởng không gian thực tại không bị ngắt quãng.","Giảm áp lực xã hội và hội chứng FOMO gây căng thẳng; Bảo vệ mắt khỏi ánh sáng xanh, cải thiện nhịp sinh học; Tăng chất lượng tương tác thực tế với người xung quanh",DÀI 81 ký tự,,,
E1,Tách biệt với môi trường hiện tại,emergency,emergency,2,10,có,"Giảm kích thích quá tải từ âm thanh, đám đông, xung đột, hoặc môi trường gây khó chịu.",22,"1. Dừng mọi tương tác trong 10–20 giây. | 2. Tự nói thầm: ""Mình cần tách ra một chút để ổn định lại."" | 3. Rời khỏi nguồn gây khó chịu: | 4. đi ra ngoài, | 5. chuyển sang phòng khác, | 6. tránh màn hình, tiếng người, tiếng ồn. | 7. Nếu chưa thể rời đi, hãy: | 8. đeo tai nghe, | 9. giảm âm lượng môi trường, | 10. quay lưng khỏi nguồn kích thích. | 11. Chọn 1 âm thanh dễ chịu: | 12. tiếng mưa, | 13. piano nhẹ, | 14. tiếng quạt, | 15. tiếng sóng biển, | 16. white noise. | 17. Đứng hoặc ngồi yên, đặt 2 chân chạm đất. | 18. Hít vào chậm 4 giây, thở ra 6 giây, lặp lại 5 lần. | 19. Tự hỏi: | 20. ""Môi trường nào đang làm mình quá tải?"" | 21. ""Mình cần yên tĩnh thêm 2 phút hay 10 phút?"" | 22. Chỉ quay lại khi nhịp thở và cơ thể đã dịu hơn.",Giảm nhịp tim và đồng bộ hóa sóng não thành trạng thái Alpha; Kích thích khu vực vỏ não tiết ra dopamine; Giảm lo âu đáng kể so với việc im lặng thụ động,,,,
E10,Khóc,emergency,emergency,2,10,có,"Nếu khóc làm bạn giảm căng thẳng âu lo, khóc vì những mất mát của bạn, hãy khóc cho thỏa nỗi lòng",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Khóc'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
E11,Sự thật,emergency,emergency,2,10,có,Hãy nói một sự thật mà bạn muốn nói từ rất lâu cho ai đó,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Sự thật'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
E12,Nghe một bản nhạc không lời (Instrumental Music Quest),emergency,emergency,2,10,có,Cung cấp danh sách nhạc nhẹ nhàng (nhạc piano hoặc âm thanh tự nhiên). Người dùng hoàn thành nhiệm vụ khi nghe nhạc trong ít nhất 5 phút.,5,"1. Đeo tai nghe hoặc bật loa với âm lượng vừa phải. | 2. Nhắm mắt lại để tập trung vào thính giác. | 3. Lắng nghe từng nốt nhạc, giai điệu hoặc lời bài hát. | 4. Thả lỏng cơ thể theo nhịp điệu của âm thanh. | 5. Cho phép tâm trí phiêu lưu theo bản nhạc trong ít nhất 5 phút.",Giảm nhịp tim và đồng bộ hóa sóng não thành trạng thái Alpha; Kích thích khu vực vỏ não tiết ra dopamine; Giảm lo âu đáng kể so với việc im lặng thụ động,,,,
E13,Uống một cốc nước chậm rãi (Mindful Drinking Game),emergency,emergency,2,10,có,"Yêu cầu người dùng uống hết một cốc nước trong vòng 3-5 phút, tập trung vào hương vị và cảm giác mỗi lần uống.",5,"1. Chuẩn bị một cốc nước lọc (có thể là nước ấm). | 2. Cầm cốc nước trên tay, cảm nhận nhiệt độ truyền qua da. | 3. Uống một ngụm nhỏ đầu tiên, giữ trong miệng 2-3 giây. | 4. Nuốt chậm rãi và cảm nhận dòng nước đi xuống họng. | 5. Tiếp tục uống từng ngụm nhỏ cho đến khi hết cốc.","Hydrat hóa tế bào não, giảm đau đầu do căng thẳng; Kích hoạt phản xạ nuốt giúp làm dịu dây thần kinh phế vị; Thực hành chánh niệm grounding hiệu quả",,,,
E14,Bài tập nụ cười (Smile for 1 Minute Challenge),emergency,emergency,2,10,có,"Yêu cầu người dùng mỉm cười liên tục trong 1 phút. Ứng dụng có thể bật camera và ghi nhận thử thách hoàn thành. Lưu ý bài không dành cho những người đang buồn vì khi đang quá đau buồn, khóc tốt hơn",5,"1. Ngồi trước gương hoặc nhìn thẳng phía trước. | 2. Mỉm cười một cách có chủ đích, nhe răng ra. | 3. Giữ nụ cười này trong đúng 60 giây liên tục. | 4. Nếu thấy mỏi hay buồn cười, hãy cứ cười lớn. | 5. Thư giãn cơ mặt và cảm nhận sự thay đổi tâm trạng.",Thuyết điểm hồi âm cơ mặt: NÃO BỘ nhận tín hiệu mô phỏng vui vẻ và sinh ra Serotonin giả lập; Giảm nhịp tim sau căng thẳng hiệu quả,,,1.36,
E15,Bóng giảm căng thẳng**,emergency,emergency,2,10,có,Là một kỹ thuật xúc giác để giải tỏa căng thẳng. Bóp bóng bằng tay không thuận trong khi hình dung căng thẳng đang tan biến.,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Bóng giảm căng thẳng**'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
E16,"Rubber band technique"":",emergency,emergency,2,10,có,Sử dụng một sợi dây thun trên cổ tay và kéo nhẹ khi có những suy nghĩ tiêu cực,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Rubber band technique"":'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
E17,Bài tập về thanh gỗ nhỏ,emergency,emergency,2,10,có,"Liên kết đến việc làm dịu các giác quan. Cầm một cây bút chì hoặc một cây gậy trong một tay. Rất chậm rãi và kỹ lưỡng, chạm và theo dõi đường viền của bàn tay kia. Để bút chì hoặc cây gậy lướt qua các ngón tay, lòng bàn tay, mu bàn tay, xung quanh và vào và ra khỏi bàn tay và quanh cổ tay. Lưu ý xem có vùng nào trên bàn tay và cổ tay cần được chú ý nhiều hơn không và nhẹ nhàng chạm và vuốt chậm vùng đó. Sau vài phút, đặt bút chì hoặc cây gậy xuống. Lưu ý cảm giác của bàn tay bạn lúc này. Cảm giác của nó như thế nào khi so sánh với bàn tay kia? Bây giờ đổi tay và cầm bút chì hoặc cây gậy trong tay kia. Bây giờ chạm và theo dõi đường viền của bàn tay kia rất chậm.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Bài tập về thanh gỗ nhỏ'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
